,구분,읍면동,리,건축물구조,건물용도,연면적(제곱미터),빈집등급,조사기준일,관리기관명,관리기관전화번호,데이터기준일
24,읍면,신북읍,발산리,일반목구조,단독주택,127.66,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
25,읍면,신북읍,지내리,일반목구조,단독주택,56.46,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
26,읍면,신북읍,지내리,일반목구조,단독주택,130.19,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
27,읍면,신북읍,지내리,일반목구조,단독주택,101.48,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
28,읍면,신북읍,용산리,일반목구조,단독주택,31.9,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
29,읍면,신북읍,용산리,일반목구조,단독주택,38.84,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
30,읍면,신북읍,용산리,벽돌구조,단독주택,28.7,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
31,읍면,신북읍,용산리,블록구조,단독주택,89.32,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
32,읍면,신북읍,용산리,일반목구조,단독주택,154.12,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
33,읍면,신북읍,용산리,블록구조,단독주택,94.06,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
34,읍면,신북읍,용산리,일반목구조,단독주택,58.78,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
35,읍면,동면,지내리,벽돌구조,단독주택,92.835,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
36,읍면,동면,지내리,일반목구조,단독주택,43.62,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
37,읍면,동면,지내리,경량철골구조,단독주택,77.0,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
38,읍면,동면,지내리,일반목구조,단독주택,45.9506,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
39,읍면,동면,지내리,일반목구조,단독주택,99.52,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
40,읍면,동면,지내리,일반목구조,단독주택,66.31,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
41,읍면,동면,만천리,경량철골구조,단독주택,81.0,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
42,읍면,동면,만천리,일반목구조,단독주택,62.3,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
43,읍면,동면,만천리,기타조적구조,단독주택,149.49,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
44,읍면,동면,장학리,일반목구조,단독주택,33.29,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
45,읍면,동면,장학리,기타조적구조,단독주택,103.47,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
46,읍면,동면,장학리,경량철골구조,제2종근린생활시설,96.0,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
47,읍면,동면,장학리,블록구조,단독주택,31.21,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
48,읍면,동면,감정리,일반목구조,단독주택,109.98,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
49,읍면,동면,감정리,일반목구조,단독주택,231.43,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
50,읍면,동면,감정리,일반목구조,단독주택,32.22,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
51,읍면,동면,감정리,일반목구조,단독주택,135.96,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
52,읍면,동면,월곡리,일반목구조,단독주택,29.75,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
53,읍면,동면,품걸리,일반목구조,단독주택,17.61,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
54,읍면,동면,평촌리,일반목구조,단독주택,63.61,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
55,읍면,동면,평촌리,경량철골구조,단독주택,62.91,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
56,읍면,동면,상걸리,일반목구조,창고시설,103.42,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
57,읍면,동산면,조양리,일반목구조,단독주택,41.32,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
58,읍면,동산면,조양리,일반목구조,단독주택,75.72,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
59,읍면,동산면,조양리,벽돌구조,단독주택,59.5,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
60,읍면,동산면,봉명리,일반목구조,단독주택,36.03,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
61,읍면,동산면,봉명리,일반목구조,단독주택,36.69,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
62,읍면,동산면,봉명리,블록구조,단독주택,48.38,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
63,읍면,동산면,원창리,벽돌구조,단독주택,79.36,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
64,읍면,동산면,원창리,일반목구조,단독주택,57.85,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
65,읍면,동산면,원창리,벽돌구조,단독주택,58.9,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
66,읍면,동산면,군자리,일반목구조,단독주택,35.5,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
67,읍면,동산면,군자리,일반목구조,단독주택,86.61,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
68,읍면,신동면,의암리,일반목구조,단독주택,98.06,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
69,읍면,신동면,증리,일반목구조,단독주택,76.4,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
70,읍면,신동면,증리,일반목구조,단독주택,67.41,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
71,읍면,신동면,증리,일반목구조,단독주택,33.86,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
72,읍면,신동면,증리,일반목구조,단독주택,32.05,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
73,읍면,신동면,증리,일반목구조,단독주택,61.49,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
74,읍면,신동면,증리,벽돌구조,단독주택,46.2184,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
75,읍면,신동면,증리,일반목구조,단독주택,26.5456,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
76,읍면,신동면,증리,일반목구조,단독주택,38.26,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
77,읍면,신동면,정족리,일반목구조,단독주택,78.06,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
78,읍면,신동면,정족리,일반목구조,단독주택,121.48,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
79,읍면,신동면,정족리,일반목구조,단독주택,61.39,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
80,읍면,남면,박암리,블록구조,단독주택,88.7,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
81,읍면,남면,박암리,일반목구조,단독주택,143.55,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
82,읍면,남면,박암리,기타조적구조,단독주택,174.46,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
83,읍면,남면,발산리,경량철골구조,단독주택,67.68,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
84,읍면,남면,발산리,일반목구조,단독주택,28.2646,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
85,읍면,남면,발산리,일반목구조,단독주택,47.52,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
86,읍면,남면,후동리,일반목구조,단독주택,61.78,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
87,읍면,남면,추곡리,일반목구조,단독주택,96.31,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
88,읍면,남면,추곡리,일반목구조,단독주택,94.5,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
89,읍면,남면,한덕리,기타조적구조,단독주택,118.52,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
90,읍면,남면,한덕리,경량철골구조,단독주택,101.0,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
91,읍면,서면,현암리,일반목구조,단독주택,79.71,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
92,읍면,서면,현암리,일반목구조,단독주택,54.09,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
93,읍면,서면,금산리,블록구조,단독주택,52.98,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
94,읍면,서면,금산리,일반목구조,단독주택,50.88,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
95,읍면,서면,금산리,일반목구조,단독주택,87.87,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
96,읍면,서면,금산리,일반목구조,단독주택,94.67,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
97,읍면,서면,금산리,벽돌구조,단독주택,100.77,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
98,읍면,서면,금산리,기타조적구조,단독주택,91.8,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
99,읍면,서면,금산리,일반목구조,단독주택,77.95,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
100,읍면,서면,신매리,일반목구조,단독주택,85.68,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
101,읍면,서면,신매리,블록구조,단독주택,146.62,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
102,읍면,서면,서상리,일반목구조,단독주택,47.39,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
103,읍면,서면,서상리,일반목구조,단독주택,56.44,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
104,읍면,서면,서상리,일반목구조,단독주택,27.01,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
105,읍면,서면,오월리,일반목구조,제2종근린생활시설,131.76,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
106,읍면,서면,월송리,일반목구조,단독주택,84.56,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
107,읍면,서면,월송리,일반목구조,단독주택,126.47,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
108,읍면,서면,월송리,경량철골구조,단독주택,119.8,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
109,읍면,서면,방동리,일반목구조,단독주택,63.01,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
110,읍면,서면,방동리,일반목구조,단독주택,75.15,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
111,읍면,서면,덕두원리,벽돌구조,단독주택,82.34,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
112,읍면,서면,당림리,경량철골구조,단독주택,58.96,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
113,읍면,서면,안보리,블록구조,단독주택,24.939,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
114,읍면,서면,안보리,블록구조,단독주택,27.45,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
115,읍면,서면,안보리,블록구조,단독주택,100.68,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
116,읍면,서면,안보리,블록구조,단독주택,101.08,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
117,읍면,사북면,신포리,벽돌구조,단독주택,65.34,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
118,읍면,사북면,지촌리,일반목구조,단독주택,77.42,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
119,읍면,사북면,지촌리,일반목구조,단독주택,88.6,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
120,읍면,사북면,오탄리,경량철골구조,단독주택,116.18,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
121,읍면,사북면,원평리,블록구조,단독주택,168.91,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
122,읍면,사북면,원평리,블록구조,단독주택,29.9,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
123,읍면,사북면,원평리,경량철골구조,단독주택,82.25,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
124,읍면,사북면,원평리,일반목구조,단독주택,71.21,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
125,읍면,사북면,지암리,일반목구조,단독주택,90.23,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
126,읍면,사북면,지암리,경량철골구조,제2종근린생활시설,108.5,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
127,읍면,사북면,고탄리,블록구조,제1종근린생활시설,50.0,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
128,읍면,사북면,고탄리,경량철골구조,단독주택,69.12,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
129,읍면,사북면,고성리,일반목구조,단독주택,56.32,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
130,읍면,사북면,송암리,벽돌구조,단독주택,72.9,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
131,읍면,북산면,추곡리,벽돌구조,제1종근린생활시설,96.25,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
132,읍면,북산면,추곡리,일반목구조,제1종근린생활시설,45.84,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
133,읍면,북산면,오항리,일반목구조,단독주택,76.64,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
134,읍면,북산면,오항리,경량철골구조,단독주택,99.0,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
135,읍면,동내면,신촌리,블록구조,단독주택,81.2,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
136,읍면,동내면,신촌리,벽돌구조,단독주택,74.96,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
137,읍면,동내면,신촌리,벽돌구조,단독주택,31.74,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
138,읍면,동내면,신촌리,일반목구조,단독주택,50.56,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
139,읍면,동내면,신촌리,일반목구조,단독주택,116.35,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
140,읍면,동내면,신촌리,일반목구조,단독주택,54.25,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
141,읍면,동내면,고은리,일반목구조,단독주택,87.62,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
142,읍면,동내면,고은리,일반목구조,단독주택,51.94,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
143,읍면,동내면,고은리,일반목구조,단독주택,64.1,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
144,읍면,동내면,사암리,일반목구조,단독주택,59.59,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
145,읍면,동내면,사암리,일반목구조,단독주택,61.08,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
146,읍면,동내면,사암리,벽돌구조,단독주택,198.47,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
147,읍면,동내면,사암리,벽돌구조,단독주택,120.58,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
148,읍면,동내면,사암리,일반목구조,단독주택,54.34,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
149,읍면,동내면,학곡리,일반목구조,단독주택,38.86,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
150,읍면,동내면,학곡리,벽돌구조,단독주택,96.64,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
151,읍면,동내면,학곡리,철근콘크리트구조,제2종근린생활시설,141.06,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
152,읍면,동내면,학곡리,일반목구조,단독주택,73.75,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
153,읍면,동내면,학곡리,블록구조,단독주택,53.39,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
154,읍면,남산면,광판리,벽돌구조,단독주택,63.36,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
155,읍면,남산면,광판리,일반목구조,단독주택,39.92,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
156,읍면,남산면,광판리,일반목구조,단독주택,40.0,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
157,읍면,남산면,광판리,일반목구조,단독주택,83.72,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
158,읍면,남산면,행촌리,일반목구조,단독주택,91.75,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
159,읍면,남산면,수동리,일반목구조,단독주택,80.12,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
160,읍면,남산면,수동리,일반목구조,단독주택,55.7,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
161,읍면,남산면,수동리,일반목구조,단독주택,94.08,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
162,읍면,남산면,수동리,일반목구조,단독주택,125.64,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
163,읍면,남산면,창촌리,일반목구조,단독주택,121.68,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
164,읍면,남산면,방곡리,일반철골구조,단독주택,517.9,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
165,읍면,남산면,방곡리,철근콘크리트구조,단독주택,457.34,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
166,읍면,남산면,방곡리,일반목구조,단독주택,73.44,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
167,읍면,남산면,강촌리,일반목구조,단독주택,81.18,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
168,읍면,남산면,강촌리,일반목구조,단독주택,113.83,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
169,읍면,남산면,강촌리,일반목구조,단독주택,280.33,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
170,읍면,남산면,강촌리,일반목구조,단독주택,187.2,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
171,읍면,남산면,강촌리,블록구조,단독주택,49.522,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
172,읍면,남산면,강촌리,벽돌구조,단독주택,47.82,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
173,읍면,남산면,강촌리,일반철골구조,단독주택,147.9,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
174,읍면,남산면,강촌리,철근콘크리트구조,단독주택,476.74,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
175,읍면,남산면,강촌리,벽돌구조,단독주택,138.37,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
176,읍면,남산면,강촌리,철근콘크리트구조,제2종근린생활시설,2737.36,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
177,읍면,남산면,강촌리,벽돌구조,단독주택,192.09,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
178,읍면,남산면,강촌리,일반목구조,단독주택,48.56,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
179,읍면,남산면,백양리,기타강구조,단독주택,27.0,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
180,읍면,남산면,백양리,일반철골구조,제1종근린생활시설,192.92,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
181,읍면,남산면,백양리,벽돌구조,단독주택,115.2,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
182,읍면,남산면,백양리,벽돌구조,단독주택,115.92,2,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
183,읍면,남산면,백양리,일반목구조,단독주택,101.4,4,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
184,읍면,남산면,방하리,벽돌구조,단독주택,69.91,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
185,읍면,남산면,방하리,일반목구조,단독주택,50.2,3,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
186,읍면,남산면,산수리,경량철골구조,단독주택,99.82,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
187,읍면,남산면,산수리,경량철골구조,단독주택,99.82,1,2021-12-01,강원특별자치도 춘천시청,033-250-3192,2023-11-10
188,도심지,교동,,일반목구조,단독주택,60.32,4,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
189,도심지,교동,,일반목구조,단독주택,76.033,2,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
190,도심지,교동,,블록구조,단독주택,50.1,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
191,도심지,교동,,일반목구조,단독주택,81.731,4,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
192,도심지,교동,,철근콘크리트구조,제1종근린생활시설,489.42,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
193,도심지,교동,,블록구조,단독주택,39.732,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
194,도심지,교동,,일반목구조,단독주택,118.75,4,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
195,도심지,교동,,블록구조,단독주택,107.58,4,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
196,도심지,교동,,블록구조,단독주택,42.64,2,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
197,도심지,교동,,일반목구조,단독주택,127.296,2,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
198,도심지,교동,,일반목구조,단독주택,73.83,4,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
199,도심지,교동,,블록구조,단독주택,39.669,4,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
200,도심지,교동,,블록구조,단독주택,56.727,4,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
201,도심지,교동,,벽돌구조,단독주택,121.98,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
202,도심지,교동,,석구조,단독주택,92.099,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
203,도심지,교동,,일반목구조,단독주택,59.04,2,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
204,도심지,교동,,일반목구조,단독주택,53.093,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
205,도심지,교동,,벽돌구조,단독주택,117.96,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
206,도심지,조양동,,벽돌구조,단독주택,47.934,2,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
207,도심지,조양동,,벽돌구조,단독주택,42.975,1,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
208,도심지,조양동,,일반목구조,단독주택,52.16,2,2023-05-20,강원특별자치도 춘천시청,033-250-3192,2023-11-10
